

*******************************************************************************
Ephemeris / WWW_USER Fri Feb  3 05:06:22 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2023-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-31 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_VENUS                       {East-longitude positive}
Target radii    : 6051.8 x 6051.8 x 6051.8 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun (R_eq= 696000.000) km
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : JD  
EOP file        : eop.230201.p230427                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-FEB-01. PREDICTS-> 2023-APR-26
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
************************************************************************************************************************************************************************************
Date_________JDUT, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
************************************************************************************************************************************************************************************
$$SOE
2459945.500000000, , , 19 57 37.65, -22 05 48.6,   -3.897,  0.876,  1.60751618977621, -5.0169704,   17.1528,/T,   23.4689,   3.1307989,  79.580192,  -4.719855,        n.a.     n.a.
2459946.500000000, , , 20 02 56.26, -21 52 02.7,   -3.897,  0.879,  1.60460045118430, -5.0794442,   17.3871,/T,   23.7990,   3.1301955,  79.071581,  -4.787832,        n.a.     n.a.
2459947.500000000, , , 20 08 13.74, -21 37 37.7,   -3.897,  0.881,  1.60164873671758, -5.1415491,   17.6211,/T,   24.1294,   3.1295837,  78.569464,  -4.855842,        n.a.     n.a.
2459948.500000000, , , 20 13 30.08, -21 22 34.2,   -3.897,  0.884,  1.59866124242395, -5.2033444,   17.8549,/T,   24.4603,   3.1289661,  78.074091,  -4.923939,        n.a.     n.a.
2459949.500000000, , , 20 18 45.22, -21 06 53.0,   -3.897,  0.887,  1.59563812927345, -5.2648922,   18.0884,/T,   24.7915,   3.1283449,  77.585696,  -4.992183,        n.a.     n.a.
2459950.500000000, , , 20 23 59.16, -20 50 34.5,   -3.897,  0.889,  1.59257952167280, -5.3262569,   18.3216,/T,   25.1231,   3.1277217,  77.104507,  -5.060639,        n.a.     n.a.
2459951.500000000, , , 20 29 11.86, -20 33 39.5,   -3.898,  0.892,  1.58948550632242, -5.3875045,   18.5546,/T,   25.4551,   3.1270977,  76.630738,  -5.129370,        n.a.     n.a.
2459952.500000000, , , 20 34 23.31, -20 16 08.6,   -3.898,  0.895,  1.58635613146146, -5.4487021,   18.7873,/T,   25.7876,   3.1264737,  76.164594,  -5.198447,        n.a.     n.a.
2459953.500000000, , , 20 39 33.49, -19 58 02.5,   -3.898,  0.897,  1.58319140658828, -5.5099167,   19.0197,/T,   26.1205,   3.1258498,  75.706268,  -5.267937,        n.a.     n.a.
